Time,Lat,Long,Pitch,Yaw,Roll,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2015-10-18 20:02:25.417,-36.887302,174.66106,11.71,-99.48,-171.06,-734.87,2289.97,-10904.31,-1245.95,535.98,-37.90
2015-10-18 20:02:25.648,-36.887302,174.66106,10.24,-98.87,-172.40,-788.87,2283.97,-10920.31,-1243.95,536.98,-36.90
2015-10-18 20:02:26.115,-36.887302,174.66106,9.59,-98.55,-173.09,-817.87,2253.97,-10924.31,-1244.95,526.98,-45.90
2015-10-18 20:02:26.315,-36.887302,174.66106,8.60,-98.05,-174.15,-821.87,2227.97,-10923.31,-1244.95,531.98,-40.90
2015-10-18 20:02:26.741,-36.887302,174.66106,7.96,-97.69,-174.86,-823.87,2279.97,-10950.31,-1244.95,528.98,-42.90
2015-10-18 20:02:27.119,-36.887325,174.66101,6.93,-97.18,-175.97,-883.87,2302.97,-10904.31,-1246.95,529.98,-41.90
2015-10-18 20:02:27.361,-36.887325,174.66101,5.86,-96.74,-177.10,-830.87,2355.97,-10948.31,-1243.95,536.98,-36.90
2015-10-18 20:02:27.917,-36.887325,174.66101,5.01,-96.57,-177.89,-869.87,2175.97,-10893.31,-1244.95,547.98,-29.90
2015-10-18 20:02:28.184,-36.887325,174.66101,4.01,-96.06,-179.08,-727.87,2170.97,-10955.31,-1243.95,529.98,-38.90
2015-10-18 20:02:28.710,-36.887325,174.66101,3.19,-95.57,179.68,-566.87,2309.97,-10914.31,-1246.95,517.98,-50.90
2015-10-18 20:02:28.980,-36.887325,174.66101,2.81,-95.13,178.87,-787.87,2308.97,-10945.31,-1243.95,520.98,-48.90
2015-10-18 20:02:29.272,-36.887325,174.66101,2.30,-87.02,177.22,-899.87,2375.97,-10874.31,-1244.95,512.98,-55.90
2015-10-18 20:02:30.072,-36.887325,174.66101,1.86,-83.49,176.39,-1103.87,2282.97,-10860.31,-1244.95,523.98,-46.90
2015-10-18 20:02:30.287,-36.887325,174.66101,-0.91,-82.56,174.41,-623.87,2181.97,-10905.31,-1243.95,568.98,-12.90
2015-10-18 20:02:30.693,-36.887325,174.66101,-2.24,-79.35,173.08,-528.87,2242.97,-10909.31,-1242.95,559.98,-20.90
2015-10-18 20:02:30.991,-36.887325,174.66101,-2.92,-75.60,171.68,-494.87,2213.97,-10926.31,-1244.95,531.98,-41.90
2015-10-18 20:02:31.377,-36.887325,174.66101,-3.18,-72.87,170.73,-682.87,2254.97,-10910.31,-1244.95,521.98,-46.90
2015-10-18 20:02:31.755,-36.887325,174.66101,-3.63,-68.67,169.30,-487.87,2262.97,-10955.31,-1245.95,527.98,-43.90
2015-10-18 20:02:32.002,174.66101,174.66101,-4.01,-63.07,167.83,-625.87,2286.97,-10935.31,-1244.95,533.98,-41.90
2015-10-18 20:02:32.409,-36.88733,174.66101,-4.16,-59.47,166.85,-490.87,2239.97,-10967.31,-1245.95,520.98,-47.90
2015-10-18 20:02:32.812,-36.88733,174.66101,-4.30,-74.54,165.37,-577.87,2310.97,-10865.31,-1244.95,520.98,-47.90
2015-10-18 20:02:33.292,-36.88733,174.66101,-4.54,-64.57,163.90,-520.87,2449.97,-11046.31,-1241.95,526.98,-44.90
2015-10-18 20:02:33.553,-36.88733,174.66101,-4.70,-47.94,162.91,-733.87,2241.97,-10791.31,-1248.95,526.98,-43.90
2015-10-18 20:02:33.965,-36.88733,174.66101,-5.12,-26.62,161.44,-881.87,2208.97,-10891.31,-1241.95,538.98,-37.90
2015-10-18 20:02:34.134,-36.88733,174.66101,-5.14,-8.72,159.95,-634.87,2275.97,-11771.31,-1242.95,522.98,-46.90
2015-10-18 20:02:34.418,-36.88733,174.66101,-5.07,1.65,158.95,-653.87,2433.97,-10433.31,-1247.95,520.98,-50.90
2015-10-18 20:02:34.782,-36.88733,174.66101,-4.76,10.94,157.97,-740.87,2103.97,-11765.31,-1245.95,509.98,-56.90
2015-10-18 20:02:35.084,-36.88733,174.66101,-4.31,19.40,156.97,-1069.87,1831.97,-11490.31,-1243.95,486.98,-72.90
2015-10-18 20:02:35.728,-36.88733,174.66101,-4.57,29.81,155.52,-1047.87,2109.97,-11194.31,-1236.95,543.98,-31.90
