Time,Data,Latitude,Longitude
2015-10-18 17:13:28.659,"!!!VER:1.9,AN0:5.18,AN1:194.60,AN2:-89.18,AN3:-222.91,AN4:-949.!!!VER:1.9,AN0:20.18,AN1:143.60,AN2:-115.18,AN3:-89.91,AN4:-1146.52,AN5:19991.70,RLL:-26.39,PCH:22.99,YAW:140.07,IMUH:0,TOW:0***",-36.881508,174.64566
2015-10-18 17:13:28.908,"!!!VER:1.9,AN0:-2.82,AN1:175.60,AN2:-128.18,AN3:-216.91,AN4:-96!!!VER:1.9,AN0:14.18,AN1:158.60,AN2:-119.18,AN3:-189.91,AN4:-1077.52,AN5:19897.70,RLL:-26.52,PCH:24.61,YAW:141.15,IMUH:0,TOW:0**",-36.881508,174.64566
2015-10-18 17:13:29.447,"!!!VER:1.9,AN0:7.18,AN1:174.60,AN2:-117.18,AN3:-190.91,AN4:-107!!!VER:1.9,AN0:7.18,AN1:169.60,AN2:-131.18,AN3:-207.91,AN4:-919.52,AN5:19820.70,RLL:-26.71,PCH:26.09,YAW:141.97,IMUH:0,TOW:0***
!!!VER:1.9,AN0:29.18,AN1:170.60,AN2:-128.18,AN3:-87.91,AN4:-1156",-36.881508,174.64566
2015-10-18 17:13:29.720,"!!!VER:1.9,AN0:57.18,AN1:77.60,AN2:-108.18,AN3:105.09,AN4:-1227!!!VER:1.9,AN0:-7.82,AN1:63.60,AN2:30.82,AN3:-43.91,AN4:-922.52,AN5:19503.70,RLL:-26.07,PCH:27.14,YAW:144.35,IMUH:0,TOW:0***
",-36.881496,174.64566
2015-10-18 17:13:29.960,"!!!VER:1.9,AN0:60.18,AN1:76.60,AN2:-70.18,AN3:349.09,AN4:-1042.!!!VER:1.9,AN0:-37.82,AN1:90.60,AN2:44.82,AN3:539.09,AN4:-1262.52,AN5:19987.70,RLL:-25.12,PCH:27.73,YAW:147.06,IMUH:0,TOW:0***
",-36.881496,174.64566
2015-10-18 17:13:30.224,"!!!VER:1.9,AN0:59.18,AN1:195.60,AN2:-48.18,AN3:-168.91,AN4:-641!!!VER:1.9,AN0:-8.82,AN1:198.60,AN2:-89.18,AN3:362.09,AN4:-1060.52,AN5:20089.70,RLL:-24.30,PCH:29.99,YAW:149.13,IMUH:0,TOW:0***",-36.881496,174.64566
2015-10-18 17:13:30.486,"!!!VER:1.9,AN0:-1.82,AN1:255.60,AN2:-212.18,AN3:-62.91,AN4:-755!!!VER:1.9,AN0:55.18,AN1:178.60,AN2:-176.18,AN3:284.09,AN4:-1309.52,AN5:19867.70,RLL:-25.34,PCH:32.02,YAW:148.42,IMUH:0,TOW:0***",-36.881496,174.64566
2015-10-18 17:13:30.892,"!!!VER:1.9,AN0:-25.82,AN1:233.60,AN2:-69.18,AN3:-24.91,AN4:-999!!!VER:1.9,AN0:10.18,AN1:202.60,AN2:-110.18,AN3:46.09,AN4:-1004.52,AN5:19788.70,RLL:-25.99,PCH:34.28,YAW:148.75,IMUH:0,TOW:0***
!!!VER:1.9,AN0:-10.82,AN1:225.60,AN2:-86.18,AN3:1.09,AN4:-882.52",-36.881496,174.64566
2015-10-18 17:13:31.142,"!!!VER:1.9,AN0:26.18,AN1:194.60,AN2:-118.18,AN3:-64.91,AN4:-102!!!VER:1.9,AN0:26.18,AN1:195.60,AN2:-94.18,AN3:-128.91,AN4:-931.52,AN5:19893.70,RLL:-26.86,PCH:37.46,YAW:148.89,IMUH:0,TOW:0***",-36.881496,174.64566
2015-10-18 17:13:31.425,"!!!VER:1.9,AN0:22.18,AN1:183.60,AN2:-99.18,AN3:13.09,AN4:-996.5!!!VER:1.9,AN0:-2.82,AN1:175.60,AN2:-139.18,AN3:-95.91,AN4:-928.52,AN5:19929.70,RLL:-27.56,PCH:39.12,YAW:148.76,IMUH:0,TOW:0***",-36.881496,174.64566
