Time,Data,Latitude,Longitude
2015-10-18 17:39:19.246,,,
2015-10-18 17:39:19.769,"!!!VER:1.9,AN0:14.18,AN1:178.60,AN2:-103.18,AN3:-1504.91,AN4:31!!!VER:1.9,AN0:-19.82,AN1:172.60,AN2:-101.18,AN3:-1373.91,AN4:2807.48,AN5:20467.70,RLL:-87.94,PCH:12.46,YAW:33.47,IMUH:0,TOW:0**
!!!VER:1.9,AN0:-2.82,AN1:172.60,AN2:-103.18,AN3:-1479.91,AN4:31",-36.887974,174.66368
2015-10-18 17:39:20.027,"!!!VER:1.9,AN0:19.18,AN1:178.60,AN2:-103.18,AN3:-1564.91,AN4:33!!!VER:1.9,AN0:-11.82,AN1:175.60,AN2:-103.18,AN3:-1426.91,AN4:2794.48,AN5:20448.70,RLL:-86.27,PCH:11.07,YAW:32.09,IMUH:0,TOW:0**",-36.887974,174.66368
2015-10-18 17:39:20.420,"!!!VER:1.9,AN0:16.18,AN1:182.60,AN2:-104.18,AN3:-1572.91,AN4:31!!!VER:1.9,AN0:-24.82,AN1:168.60,AN2:-102.18,AN3:-1392.91,AN4:2838.48,AN5:20455.70,RLL:-85.38,PCH:10.39,YAW:31.18,IMUH:0,TOW:0**
!!!VER:1.9,AN0:-12.82,AN1:173.60,AN2:-103.18,AN3:-1423.91,AN4:2",-36.887974,174.66368
2015-10-18 17:39:20.828,"!!!VER:1.9,AN0:-3.82,AN1:171.60,AN2:-103.18,AN3:-1423.91,AN4:30!!!VER:1.9,AN0:17.18,AN1:179.60,AN2:-105.18,AN3:-1593.91,AN4:3263.48,AN5:20438.70,RLL:-84.11,PCH:9.44,YAW:30.36,IMUH:0,TOW:0***
!!!VER:1.9,AN0:19.18,AN1:178.60,AN2:-104.18,AN3:-1585.91,AN4:335",-36.887974,174.66368
2015-10-18 17:39:21.080,"!!!VER:1.9,AN0:-2.82,AN1:177.60,AN2:-102.18,AN3:-1465.91,AN4:29!!!VER:1.9,AN0:6.18,AN1:178.60,AN2:-105.18,AN3:-1525.91,AN4:3102.48,AN5:20499.70,RLL:-82.75,PCH:8.52,YAW:28.94,IMUH:0,TOW:0***
",-36.887974,174.66368
2015-10-18 17:39:21.485,"!!!VER:1.9,AN0:-17.82,AN1:170.60,AN2:-102.18,AN3:-1512.91,AN4:2!!!VER:1.9,AN0:16.18,AN1:176.60,AN2:-103.18,AN3:-1538.91,AN4:3275.48,AN5:20396.70,RLL:-81.85,PCH:7.93,YAW:28.25,IMUH:0,TOW:0***
!!!VER:1.9,AN0:5.18,AN1:173.60,AN2:-104.18,AN3:-1451.91,AN4:3213",-36.887974,174.66368
2015-10-18 17:39:21.766,"!!!VER:1.9,AN0:18.18,AN1:183.60,AN2:-104.18,AN3:-1576.91,AN4:32!!!VER:1.9,AN0:23.18,AN1:180.60,AN2:-104.18,AN3:-1599.91,AN4:3373.48,AN5:20483.70,RLL:-80.48,PCH:7.09,YAW:26.93,IMUH:0,TOW:0***",-36.887974,174.66368
2015-10-18 17:39:22.006,"!!!VER:1.9,AN0:-5.82,AN1:177.60,AN2:-104.18,AN3:-1498.91,AN4:28!!!VER:1.9,AN0:9.18,AN1:179.60,AN2:-104.18,AN3:-1538.91,AN4:3086.48,AN5:20447.70,RLL:-79.51,PCH:6.55,YAW:26.31,IMUH:0,TOW:0***
",-36.887974,174.66368
2015-10-18 17:39:22.535,"!!!VER:1.9,AN0:-26.82,AN1:168.60,AN2:-101.18,AN3:-1445.91,AN4:2!!!VER:1.9,AN0:-11.82,AN1:175.60,AN2:-102.18,AN3:-1406.91,AN4:2848.48,AN5:20390.70,RLL:-78.63,PCH:6.05,YAW:25.77,IMUH:0,TOW:0**
!!!VER:1.9,AN0:-24.82,AN1:164.60,AN2:-103.18,AN3:-1494.91,AN4:29",-36.887974,174.66368
2015-10-18 17:39:22.920,"!!!VER:1.9,AN0:12.18,AN1:176.60,AN2:-104.18,AN3:-1520.91,AN4:32!!!VER:1.9,AN0:0.18,AN1:177.60,AN2:-104.18,AN3:-1494.91,AN4:2957.48,AN5:20432.70,RLL:-76.72,PCH:5.10,YAW:24.40,IMUH:0,TOW:0***
!!!VER:1.9,AN0:20.18,AN1:181.60,AN2:-105.18,AN3:-1589.91,AN4:3309",-36.887974,174.66368
2015-10-18 17:39:23.450,"!!!VER:1.9,AN0:-19.82,AN1:172.60,AN2:-102.18,AN3:-1380.91,AN4:2!!!VER:1.9,AN0:-12.82,AN1:167.60,AN2:-103.18,AN3:-1465.91,AN4:3089.48,AN5:20303.70,RLL:-75.23,PCH:4.44,YAW:23.00,IMUH:0,TOW:0***!!!VER:1.9,AN0:-22.82,AN1:168.60,AN2:-102.18,AN3:-1477.91,AN4:29",-36.887974,174.66368
2015-10-18 17:39:23.710,"!!!VER:1.9,AN0:-19.82,AN1:164.60,AN2:-103.18,AN3:-1444.91,AN4:3!!!VER:1.9,AN0:27.18,AN1:181.60,AN2:-104.18,AN3:-1570.91,AN4:3381.48,AN5:20499.70,RLL:-73.28,PCH:3.65,YAW:21.59,IMUH:0,TOW:0***",-36.887974,174.66368
2015-10-18 17:39:23.979,"!!!VER:1.9,AN0:-4.82,AN1:167.60,AN2:-104.18,AN3:-1418.91,AN4:31!!!VER:1.9,AN0:19.18,AN1:181.60,AN2:-104.18,AN3:-1593.91,AN4:3316.48,AN5:20543.70,RLL:-72.19,PCH:3.29,YAW:20.66,IMUH:0,TOW:0***",-36.887974,174.66368
2015-10-18 17:39:24.507,"!!!VER:1.9,AN0:-18.82,AN1:173.60,AN2:-103.18,AN3:-1425.91,AN4:2!!!VER:1.9,AN0:16.18,AN1:182.60,AN2:-104.18,AN3:-1567.91,AN4:3074.48,AN5:20493.70,RLL:-71.10,PCH:2.96,YAW:20.24,IMUH:0,TOW:0***
!!!VER:1.9,AN0:-20.82,AN1:169.60,AN2:-102.18,AN3:-1362.91,AN4:27",-36.887974,174.66368
